node_id,neighborhood_group,latitude,longitude
150977876,Delridge,47.552123,-122.363874
150970845,West Seattle,47.570931,-122.386516
150940157,Ballard,47.676507,-122.3862233
231658837,Cascade,47.62303, -122.331836
2374422052,Central Area,47.6088,-122.296436
150946182,Queen Anne,47.63948,-122.360745
150939846,Capitol Hill,47.62383,-122.318368
150972830,Northgate,47.713153,-122.32123
150936037,Magnolia,47.64681,-122.399489
2404270129,Downtown,47.605375,-122.334303
150975261,Beacon Hill,47.577585,-122.30996
150959549,Rainier Valley,47.552544,-122.290889
150938688,Lake City,47.719161,-122.295493
977967666,University District,47.661298,-122.313152
6152786240,Seward Park,47.551215,-122.265799
150951309,Interbay,47.640741,-122.376339
